storename,address,위도,경도
아산용화점,충남 아산시 온중로 57 (용화동) ,36.7757183,126.9973846
아산신창점,충남 아산시 신창면 행목로 218 ,36.7830595,126.9544199
아산신도시점,충남 아산시 배방읍 용연로 95 ,36.7885324,127.0912297
아산온양온천역점,충남 아산시 온천대로 1497 (온천동) ,36.7814865,127.0044419
아산탕정점,충남 아산시 탕정면 탕정면로 37 (탕정삼성트라팰리스아파트) ,36.8008436,127.0616723
아산음봉포스코점,충남 아산시 음봉면 음봉로 515-37 (더샵 레이크시티3차 아파트) ,36.8437315,127.0660670
아산테크노밸리점,충남 아산시 둔포면 아산밸리중앙로 58-5 (아산테크노밸리이지더원2단지아파트) ,36.9229653,127.0559012
천안두정점,충남 천안시 서북구 서부대로 766 (두정동) ,36.8356224,127.1339331
천안신계리점,충남 천안시 동남구 목천읍 목천안터2길 10 ,36.7756581,127.2115140
천안백석점,충남 천안시 서북구 백석3로 134 (백석동) ,36.8221802,127.1250258
천안봉명점,충남 천안시 서북구 봉명로 24 (쌍용동) ,36.8074424,127.1310698
천안불당점,충남 천안시 서북구 불당17길 27 (불당동) ,36.8097350,127.1108630
천안새샘초교점,충남 천안시 동남구 통정9로 76 (신방동) ,36.7702747,127.1327459
천안성거점,충남 천안시 서북구 성거읍 성거길 90 ,36.8732775,127.2014953
천안성정점,충남 천안시 서북구 쌍용대로 296 (성정동) ,36.8237205,127.1371652
천안성환점,충남 천안시 서북구 성환읍 성환2로 105 ,36.9166997,127.1323903
천안신부점,충남 천안시 동남구 터미널9길 34 (신부동) ,36.8228059,127.1561460
천안쌍용점,충남 천안시 서북구 월봉로 132 (쌍용동) ,36.8023638,127.1190893
천안안서점,충남 천안시 동남구 각원사길 42 (안서동) ,36.8305709,127.1766883
천안원성점,충남 천안시 동남구 충절로 177 (원성동) ,36.8029994,127.1592399
천안직산점,충남 천안시 서북구 직산읍 삼은3길 25 ,36.8787254,127.1520650
천안청수점,충남 천안시 동남구 청수로 140 (구성동) ,36.7942545,127.1593830
천안신방점,충남 천안시 동남구 서부대로 257-3 (신방동) ,36.7910986,127.1285676
천안삼성점,충남 천안시 동남구 목천읍 삼성5길 3 ,36.7619201,127.1735885
홍성상설시장점,충남 홍성군 홍성읍 아문길29번길 66-16 ,36.6005966,126.6644575
홍성광천점,충남 홍성군 광천읍 홍남로 684-17 ,36.5026316,126.6259575
충남안면도점,충남 태안군 안면읍 장터로 107 ,36.5167676,126.3454568
충남태안점,충남 태안군 태안읍 중앙로 110-1 ,36.7520637,126.3004344
충남예산점,충남 예산군 예산읍 아리랑로 16-1 ,36.6860448,126.8313397
충남예산삽교점,충남 예산군 삽교읍 삽교로 87-1 ,36.6862273,126.7384680
당진합덕점,충남 당진시 합덕읍 중동길 48-2 ,36.8086279,126.7732547
공주신관점,충남 공주시 공주대학로 93 (신관동) ,36.4733428,127.1374570
공주중동점,충남 공주시 웅진로 146 (중동) ,36.4533034,127.1244674
공주유구점,충남 공주시 유구읍 중앙1길 62 ,36.5501665,126.9511076
충남논산점,충남 논산시 중앙로 401 (취암동) ,36.1999399,127.0887855
충남논산연무점,충남 논산시 연무읍 안심로 127 ,36.1324956,127.0993563
충남대천점,충남 보령시 중앙로 81 (대천동) ,36.3505951,126.5953801
충남금산점,충남 금산군 금산읍 인삼로 67 (엔이시티) ,36.1033507,127.4890931
충남계룡점,충남 계룡시 서금암로 7 (금암동) ,36.2732228,127.2518876
충남계룡신도안점,충남 계룡시 신도안면 신도안1길 43 ,36.2961797,127.2456617
충남서천점,충남 서천군 서천읍 군청로 21 ,36.0769289,126.6906059
충남청양점,충남 청양군 청양읍 중앙로 130 ,36.4512774,126.8032462
충남부여점,충남 부여군 부여읍 석탑로 68 ,36.2821204,126.9129279
조치원신흥점,세종특별자치시 조치원읍 대첩로 19-1 ,36.5953792,127.2939620
청주봉명점,충북 청주시 흥덕구 백봉로 227 (봉명동) ,36.6495112,127.4608633
청주운천점,충북 청주시 흥덕구 사운로 248 (운천동) ,36.6502583,127.4746146
청주수곡점,충북 청주시 서원구 구룡산로 264 (수곡동) ,36.6172042,127.4741470
청주용암중흥점,충북 청주시 상당구 중흥로 189 (용암동) ,36.6196454,127.5136579
청주사직점,충북 청주시 서원구 창직로35번길 6 (사창동) ,36.6309368,127.4658573
청주용암점,"충북 청주시 상당구 용암로 3 (용암동, 덕성그린타운) ",36.6091007,127.5094743
청주복대점,충북 청주시 흥덕구 증안로 24 (복대동) ,36.6363377,127.4260560
청주가경점,충북 청주시 흥덕구 서경로28번길 13 (가경동) ,36.6174203,127.4432826
청주사천점,충북 청주시 청원구 율봉로 51 (사천동) ,36.6644342,127.4756702
청주산남점,충북 청주시 서원구 두꺼비로 82 (산남동) ,36.6117828,127.4645566
청주금천점,충북 청주시 상당구 수영로 315 (용담동) ,36.6323654,127.5074307
청주분평점,충북 청주시 서원구 월평로 28 (분평동) ,36.6108092,127.4880575
청주주성점,충북 청주시 청원구 율량로 160 (율량동) ,36.6683112,127.4990707
충북보은점,충북 보은군 보은읍 삼산로 4 ,36.4852137,127.7212478
청주오창점,충북 청주시 청원구 오창읍 오창중앙로 29 ,36.7081870,127.4260631
충북광혜원점,충북 진천군 광혜원면 장기길 106 ,36.9903173,127.4456955
충북금왕점,충북 음성군 금왕읍 무극로 255 ,36.9923016,127.5900779
충북옥천점,충북 옥천군 옥천읍 중앙로6길 5 ,36.3016833,127.5686637
충북음성점,충북 음성군 음성읍 수정로 34 ,36.9341278,127.6900309
충북혁신도시점,충북 음성군 맹동면 원중로 1430 ,36.9093412,127.5414139
충북대소점,충북 음성군 대소면 오태로 142 ,36.9659592,127.4906303
충북괴산점,충북 괴산군 괴산읍 읍내로2길 54-1 ,36.8091069,127.7929763
충북영동점,충북 영동군 영동읍 영동천2길 1 ,36.1737826,127.7754632
청주옥산점,충북 청주시 흥덕구 옥산면 청주역로 651 ,36.6652209,127.3742463
충북증평점,충북 증평군 증평읍 중앙로 230 ,36.7855525,127.5834728
