가맹점명,주소,위도,경도
동서변,대구 북구 동변동 669-4,35.9210259,128.6031144
동소문,서울 성북구 동선동5가 147-13,37.5970487,127.0152570
동양미래대학,서울 구로구 고척동 343,37.5029264,126.8631400
동읍,경남 창원시 의창구 동읍 용잠리 371-2,35.2772949,128.6852307
동천(경주),경북 경주시 동천동 987-44,35.8583137,129.2244534
동천(광주),광주 서구 동천동 598,35.1714941,126.8667045
동천1호,경기 용인시 수지구 동천동 941-7,37.3372788,127.0915407
동천3지구,대구 북구 동천동 906-3,35.9428328,128.5595671
동촌,대구 동구 검사동 1111,35.8864260,128.6519602
동춘,인천 연수구 동춘동 934-1,37.4074620,126.6719071
동탄1능동,경기 화성시 반송동 70-4,37.2017758,127.0604547
동탄1호,경기 화성시 반송동 42-6,37.2075227,127.0650354
동탄2 영천,경기 화성시 영천동 701-1,37.2059287,127.1124876
동탄2목동,경기 화성시 목동 454-5,37.1816365,127.1260257
동탄2산척,경기 화성시 산척동 산16,37.1739310,127.1137762
동탄2청계,경기 화성시 청계동 536,37.1991807,127.1142770
동탄2호,경기 화성시 반송동 217-6,37.1931568,127.0733803
동탄2호수공원,경기도 화성시 송동 709-1,37.1655960,127.0940031
동탄테크노밸리,경기 화성시 영천동 797-1,37.2078696,127.0932925
동판교,경기 성남시 분당구 삼평동 664,37.3974933,127.1107738
동호,대구 동구 동호동 384-7,35.8655357,128.7241076
두류,대구 달서구 두류동 620-12,35.8520637,128.5548607
두암1호,광주 북구 두암2동 826-50,35.1749020,126.9332276
두정,충남 천안시 서북구 성정2동 1211,36.8284953,127.1350981
둔덕,전남 여수시 둔덕동 434-7,34.7685958,127.6940760
둔산1호,대전 서구 둔산2동 1093,36.3521972,127.3743752
둔산2호,대전 서구 둔산동 1851,36.3510458,127.4002938
둔전,경기 용인시 처인구 포곡읍 둔전리 400-2,37.2682348,127.2144995
둔촌1호,서울 강동구 둔촌동 454-5,37.5312120,127.1420296
등촌,서울 강서구 등촌동 649-14,37.5522155,126.8633122
마곡역,서울 강서구 마곡동 774-1,37.5597183,126.8308928
마린시티,부산 해운대구 우동 1434-2,35.1572580,129.1482829
마산현동,경남 창원시 마산합포구 현동 374,35.1506092,128.5540031
마석,경기 남양주시 화도읍 마석우리 384-8,37.6595395,127.3046678
마재,"광주 서구 금호동 813 대주파크빌상가 124동 114호, 115호",35.1276101,126.8563361
마천1호,서울 송파구 거여동 32-6,37.4927018,127.1490892
만년,대전 서구 만년동 316,36.3687361,127.3816084
만덕1호,부산 북구 만덕동 294,35.2122895,129.0364851
만덕2호,부산 북구 만덕3동 915-6,35.2116238,129.0285511
만성,전북 전주시 덕진구 만성동 1365-6,35.8445529,127.0744425
만수1호,인천 남동구 만수동 1045 103호,37.4410606,126.7373706
만수2호,인천 남동구 만수동 1118-2,37.4614100,126.7330767
만수3호,인천 남동구 간석3동 921-14,37.4611340,126.7207851
만촌1호,대구 수성구 만촌동 849-2,35.8575814,128.6480999
만촌2호,대구 수성구 만촌1동 1326-32,35.8718317,128.6366395
망미1호,부산 수영구 망미동 413-11,35.1753163,129.1077353
망우본동,서울 중랑구 망우동 251-2,37.6070849,127.1059496
망원2동,서울 마포구 망원동 482-9,37.5581909,126.9078032
매곡,광주 북구 매곡동 334-5,35.1889020,126.8904465
매교,경기 수원시 권선구 세류동 97-5,37.2658427,127.0119896
매탄1호,경기 수원시 영통구 매탄동 1170-4,37.2553963,127.0402585
매탄2호,경기 수원시 영통구 매탄2동 199-69,37.2691709,127.0480327
매탄3호,경기 수원시 영통구 매탄4동 208-21,37.2666247,127.0462209
메트로시티1호,부산 남구 용호동 176-30,35.1282159,129.1123623
면목1호,서울 중랑구 면목본동 72-43,37.5893719,127.0927582
