가맹점명,주소,위도,경도
가운점,경기 남양주시 가운로2길 59 (다산동),37.6004384,127.1571601
남양주청학점,경기 남양주시 별내면 청학로68번길 5-18,37.7085389,127.1190261
동두천중앙역점,경기 동두천시 중앙로 227 (생연동),37.9019669,127.0528597
동두천불현점,경기 동두천시 행선로 102 (생연동),37.8971498,127.0627489
부천역점,경기 부천시 부천로39번길 8 (심곡동),37.4881075,126.7831909
상동라일락점,경기 부천시 도약로 39 (상동),37.5125194,126.7538632
역곡점,경기 부천시 부일로 747 (역곡동),37.4864153,126.8127131
부천원미점,경기 부천시 원미로 123-2 (원미동),37.4936957,126.7910441
상동역점,경기 부천시 상동로 69 (상동),37.5037563,126.7522343
부천고강점,경기 부천시 역곡로 487 (고강동),37.5282241,126.8158567
부천도당점,경기 부천시 삼작로 278 (도당동),37.5200345,126.7923358
부천중동팰리스점,"경기 부천시 중동로 107 (중동, 팰리스카운티)",37.4917782,126.7659987
부천중동포도점,경기 부천시 소향로 119 (중동),37.5025694,126.7612606
부천범박점,경기 부천시 은성로 115 (괴안동),37.4744134,126.8034856
부천중동미리내점,경기 부천시 조마루로285번길 60 (중동),37.5000699,126.7752050
송내로데오점,경기 부천시 송내대로73번길 46 (상동),37.4905229,126.7515827
부천중동남부역점,경기 부천시 경인로 72 (송내동),37.4835503,126.7631849
부천약대점,경기 부천시 중동로 383 (약대동),37.5141047,126.7699236
성남중앙점,경기 성남시 수정구 수정로 106 (수진동),37.4407268,127.1322097
성남산성점,경기 성남시 수정구 수정로 354 (산성동),37.4551955,127.1501003
판교산운마을점,경기 성남시 분당구 운중로 128 (운중동),37.3913252,127.0773452
분당정자1점,경기 성남시 분당구 성남대로 389 (정자동),37.3708566,127.1075073
성남신구대점,경기 성남시 중원구 광명로 319 (금광동),37.4453123,127.1613365
분당서현점,경기 성남시 분당구 중앙공원로39번길 7 (서현동),37.3814323,127.1279830
분당미금점,경기 성남시 분당구 성남대로 165 (금곡동),37.3507480,127.1083309
성남도촌점,경기 성남시 중원구 도촌남로 33 (도촌동),37.4145513,127.1511575
이매점,경기 성남시 분당구 양현로94번길 7 (이매동) 1층 110호,37.3918473,127.1254152
분당푸른점,경기 성남시 분당구 돌마로366번길 42 (수내동),37.3671790,127.1267477
판교백현마을점,경기 성남시 분당구 동판교로 58 (백현동) 나이스프라자 107호,37.3879097,127.1152273
분당정자점,경기 성남시 분당구 내정로 52 (정자동),37.3647963,127.1151318
성남상대원점,경기 성남시 중원구 희망로 339-1 (상대원동),37.4360840,127.1579790
분당아름점,경기 성남시 분당구 판교로 437 (야탑동),37.4057284,127.1224352
성남중원점,경기 성남시 중원구 제일로35번길 1 (성남동),37.4300898,127.1365288
분당수내점,"경기 성남시 분당구 내정로173번길 11 (수내동, 양지마을)",37.3749847,127.1181637
성남복정점,경기 성남시 수정구 복정로 43 (복정동),37.4567917,127.1269680
성남은행점,경기 성남시 수정구 산성대로 521 (양지동),37.4577795,127.1635908
성남태평점,경기 성남시 수정구 시민로 227 (태평동),37.4480732,127.1405348
북수원점,경기 수원시 장안구 송원로 81 (조원동),37.3021322,127.0092298
수원정자점,경기 수원시 장안구 대평로 86 (정자동),37.2959942,126.9932893
수원연무점,경기 수원시 장안구 창훈로 3-2 (연무동),37.2928112,127.0308706
성대점,경기 수원시 장안구 서부로2123번길 32 (율전동),37.2985050,126.9694420
수원망포점,경기 수원시 영통구 영통로153번길 6 (망포동),37.2414297,127.0550129
매탄점,경기 수원시 영통구 인계로 220 (매탄동),37.2648805,127.0414111
광교힐스테이트점,"경기 수원시 영통구 도청로 65 (이의동, 자연앤 힐스테이트) 상가 125호",37.2879340,127.0504670
수원오목천점,경기 수원시 권선구 삼천병마로1598번길 32 (오목천동) 104호,37.2457480,126.9652606
수원영통점,경기 수원시 영통구 덕영대로1555번길 16 (영통동),37.2467959,127.0615894
수원역점,경기 수원시 팔달구 덕영대로943번길 20 (매산로1가),37.2653108,127.0027474
수원권선시장점,"경기 수원시 권선구 권광로 55 (권선동, 권선자이 이편한세상) 상가A동 111호",37.2530296,127.0263728
수원화서점,경기 수원시 팔달구 덕영대로 695 (화서동),37.2847314,126.9903191
수원탑동점,경기 수원시 권선구 탑동로57번길 2 (탑동),37.2741084,126.9736698
수원곡반정점,경기 수원시 권선구 곡선로50번길 45-4 (곡반정동),37.2366802,127.0288563
수원권선점,경기 수원시 권선구 동수원로 218-39 (권선동),37.2487711,127.0359704
영통중심상가점,경기 수원시 영통구 청명남로 39 (영통동),37.2532210,127.0757049
세류점,경기 수원시 권선구 세지로 93 (세류동),37.2602563,127.0183198
수원호매실점,경기 수원시 권선구 금호로 28 (호매실동),37.2686299,126.9547508
수원천천점,경기 수원시 장안구 덕영대로535번길 34 (천천동),37.2971232,126.9821087
수원동신점,경기 수원시 장안구 만석로159번길 39 (정자동),37.3031387,126.9968240
아주대점,경기 수원시 영통구 아주로 34 (원천동),37.2778541,127.0440683
수원영화점,경기 수원시 장안구 수성로262번길 3 (영화동),37.2898689,127.0014830
수원고등점,경기 수원시 팔달구 팔달로107번길 4 (화서동),37.2784139,127.0031775
수원율현점,경기 수원시 팔달구 일월로22번길 22-5 (화서동),37.2858338,126.9814044
수원우만점,"경기 수원시 팔달구 권광로 373 (우만동, 월드메르디앙 아파트)",37.2808409,127.0340698
수원남부경찰서점,경기 수원시 영통구 매봉로35번길 1 (매탄동),37.2710909,127.0526609
수원금곡점,경기 수원시 권선구 금곡로102번길 38 (금곡동) 104호,37.2724505,126.9411906
광교웰빙타운점,경기 수원시 영통구 대학로 103 (이의동),37.3046356,127.0471776
수원황골점,"경기 수원시 영통구 봉영로1744번길 11 (영통동, 벽산.풍림아파트)",37.2664532,127.0836767
수원남문점,경기 수원시 팔달구 팔달문로 1 (팔달로2가),37.2777097,127.0175247
시흥정왕점,경기 시흥시 함송로 23 (정왕동),37.3635723,126.7310262
시흥옥구점,"경기 시흥시 옥구상가2길 4 (정왕동, 로얄타운)",37.3539286,126.7239966
정왕본동점,경기 시흥시 정왕천로411번길 36 (정왕동),37.3463094,126.7488846
시흥대야점,경기 시흥시 비둘기공원7길 39 (대야동),37.4424961,126.7924001
월곶점,경기 시흥시 월곶중앙로 58 (월곶동),37.3889386,126.7389905
시흥장곡점,경기 시흥시 진말로9번길 2 (장곡동),37.3784773,126.7852546
시흥신천신일초점,경기 시흥시 시흥대로 1079 (신천동),37.4322120,126.7928147
시흥능곡점,경기 시흥시 승지로 54 (능곡동),37.3687342,126.8103555
시흥거모점,경기 시흥시 군자로 523 (거모동) 103호,37.3435015,126.7855545
정왕아주점,"경기 시흥시 정왕신길로139번길 4 (정왕동, 아주아파트)",37.3531696,126.7354423
안산원곡점,경기 안산시 단원구 원초로 33 (원곡동),37.3287330,126.8021589
안산월피점,"경기 안산시 상록구 부루지길 6 (월피동, 라성빌라)",37.3282021,126.8507891
안산본오점,경기 안산시 상록구 석호로 268 (본오동),37.2934566,126.8602060
안산한대앞역점,경기 안산시 상록구 광덕1로 386 (이동),37.3084611,126.8524502
고잔법원점,경기 안산시 단원구 광덕1로 159 (고잔동),37.3081557,126.8271684
안산부곡점,경기 안산시 상록구 부곡로 55 (부곡동),37.3274353,126.8600674
안산건건점,경기 안산시 상록구 건건로 65 (건건동),37.3069304,126.9032907
안산일동점,경기 안산시 상록구 안산대학로 98 (일동),37.3091022,126.8689754
안산선부점,"경기 안산시 단원구 선부로 166 (선부동, 공작한양아파트)",37.3399830,126.8125074
안산한양대점,경기 안산시 상록구 한양대학로 38 (사동),37.3011139,126.8393869
안산사2동점,경기 안산시 상록구 감골2로 40 (사동),37.2910812,126.8521042
안성금산교차로점,경기 안성시 안성맞춤대로 1088 (연지동),37.0104910,127.2706089
안성공도점,경기 안성시 공도읍 공도로 91,37.0001022,127.1710985
안성죽산점,경기 안성시 죽산면 남부길 75,37.0756930,127.4257562
안양평촌점,경기 안양시 동안구 평촌대로 142 (평촌동),37.3850003,126.9598991
안양일번가점,경기 안양시 만안구 만안로223번길 13 (안양동),37.4005938,126.9219681
안양관양점,경기 안양시 동안구 관평로 324 (관양동),37.4049376,126.9577645
안양박달점,경기 안양시 만안구 박달로 471 (박달동),37.4025500,126.9049022
안양인덕원점,경기 안양시 동안구 흥안대로456번길 11 (평촌동),37.3947642,126.9764748
안양호계점,"경기 안양시 동안구 경수대로 472 (호계동, 영풍주상복합아파트)",37.3649730,126.9592725
안양중앙시장점,경기 안양시 만안구 장내로 86 (안양동),37.3950414,126.9182955
안양평촌도서관점,경기 안양시 동안구 관평로 227 (관양동),37.3967621,126.9578147
안양비산점,경기 안양시 동안구 비산로 57 (비산동) 안양임곡휴먼시아 가상가동 106호,37.4018617,126.9316489
안양성결대점,경기 안양시 만안구 성결대학로 28 (안양동) 신라빌딩 1층 104호,37.3827650,126.9310920
호계도서관점,경기 안양시 동안구 귀인로 107 (호계동),37.3824979,126.9514562
석수전화국점,경기 안양시 만안구 안양로 465 (석수동),37.4113067,126.9106928
안양갈산점,경기 안양시 동안구 갈산로 35 (호계동),37.3751489,126.9614813
양주옥정점,경기 양주시 옥정로 222 (옥정동),37.8214014,127.0921542
양주덕정점,경기 양주시 고암길 306-77 (덕정동),37.8367555,127.0685865
양주삼숭점,경기 양주시 삼숭로38번길 106 (삼숭동),37.7958392,127.1068879
양주백석점,경기 양주시 백석읍 양주산성로 550,37.7870903,126.9928252
양주고읍점,경기 양주시 고읍남로 24 (광사동),37.7944513,127.0789303
양평군청점,경기 양평군 양평읍 양평시장길27번길 11,37.4901928,127.4898925
양평서종점,경기 양평군 서종면 북한강로801번길 3 105호,37.6088828,127.3488192
양평용문점,경기 양평군 용문면 용문로 344,37.4834142,127.5924466
여주점,경기 여주시 세종로 75 (홍문동),37.2911543,127.6356434
여주가남점,경기 여주시 가남읍 태평로 23-2,37.2029485,127.5463325
연천전곡점,경기 연천군 전곡읍 전곡로 145-1,38.0251804,127.0685752
오산금암마을점,경기 오산시 수청로 209 (금암동) 휴먼시아아파트 4단지 101호,37.1761331,127.0438337
오산대원점,경기 오산시 경기대로 153 (원동),37.1383191,127.0731103
오산궐동점,경기 오산시 궐리사로 77 (궐동),37.1586443,127.0607801
오산갈곶점,경기 오산시 오산로 79 (갈곶동),37.1339780,127.0688353
오산내삼미점,"경기 오산시 내삼미로 109 (내삼미동, 삼미마을) 16단지아파트",37.1722872,127.0642745
오산운암운천초점,경기 오산시 운암로 121 (오산동),37.1568622,127.0784015
누읍점,경기 오산시 발안로 1364 (누읍동),37.1417713,127.0481878
오산운암뜰점,경기 오산시 대원로 65 (원동),37.1465737,127.0758805
풍덕천점,경기 용인시 수지구 풍덕천로 107 (풍덕천동) B01호,37.3223739,127.0939193
용인상현점,경기 용인시 수지구 만현로 102 (상현동),37.3073129,127.0845991
용인죽전점,경기 용인시 수지구 정든로6번길 1 (죽전동),37.3271822,127.1134635
구갈점,경기 용인시 기흥구 관곡로64번길 18 (구갈동),37.2811336,127.1125051
용인한보라점,경기 용인시 기흥구 한보라1로64번길 2 (보라동),37.2502376,127.1072185
동백역점,경기 용인시 기흥구 동백3로11번길 8 (중동),37.2696143,127.1535981
용인동백점,경기 용인시 기흥구 동백중앙로 358-5 (동백동),37.2824711,127.1600241
용인보라점,"경기 용인시 기흥구 사은로126번길 10 (보라동, 민속마을 쌍용아파트)",37.2527994,127.1174184
광교상현역점,경기 용인시 수지구 광교중앙로 314 (상현동),37.2978997,127.0698178
김량장점,경기 용인시 처인구 중부대로 1360 (김량장동),37.2343356,127.1955385
용인청덕점,"경기 용인시 기흥구 구성3로 37 (청덕동, 휴먼시아물푸레마을2단지아파트)",37.2958901,127.1495873
용인오리역벽산점,경기 용인시 수지구 용구대로2801번길 7 (죽전동) 동림상가108호,37.3353687,127.1082488
용인역북점,경기 용인시 처인구 명지로60번길 8-4 (역북동),37.2309265,127.1877634
용인양지점,경기 용인시 처인구 양지면 양지로 162,37.2341227,127.2862509
용인마북점,경기 용인시 기흥구 마북로 135 (마북동),37.3025618,127.1220495
언남점,경기 용인시 기흥구 구성로 103 (언남동),37.2938993,127.1207504
용인흥덕점,경기 용인시 기흥구 흥덕2로 115 (영덕동),37.2778401,127.0738104
마평점,경기 용인시 처인구 고림로 20 (마평동),37.2351014,127.2135869
용인어정역점,경기 용인시 기흥구 어정로 139 (중동),37.2758949,127.1452342
