가맹점명,주소,위도,경도
오창산업단지,충북 청원군 오창읍 주성리 602,36.7323126,127.4518822
오천,경북 포항시 남구 오천읍 원리 913-2,35.9684853,129.4030317
오치,광주 북구 오치동 785-4,35.1868240,126.8985723
오태북삼,경북 칠곡군 북삼읍 인평리 246-3,36.0665175,128.3454931
오학,경기 여주군 오학동 산45-7,37.3106416,127.6438435
옥계,경북 구미시 옥계동 843-1,36.1368523,128.4200128
옥교,울산 중구 학산동 3-27,35.5551875,129.3314015
옥길,경기 부천시 옥길동 730-3,37.4691951,126.8214092
옥동(안동),경북 안동시 옥동 786-15,36.5621906,128.7007182
옥동(울산),울산 남구 옥동 584-11,35.5360436,129.2886769
옥련,인천 연수구 옥련동 194-4,37.4238963,126.6444073
옥룡,충남 공주시 옥룡동 308-1,36.4562197,127.1330901
옥암,전남 목포시 옥암동 1248-2,34.8099707,126.4463840
옥정,"경기 양주시 옥정동 966-1 (101호, 102호)",37.8202044,127.0928471
옥포(거제),경남 거제시 옥포동 160-1,34.8904958,128.6949964
옥포(대구),대구 달성군 옥포읍 교항리 2911,35.7813620,128.4414485
온천,충남 아산시 온천동 1310,36.7884680,126.9968933
온천1호,부산 동래구 온천동 210-5번지,35.2191704,129.0812517
온천2호,부산 동래구 온천동 1411-47,35.2029823,129.0666556
올림픽공원,서울 송파구 풍납동 401-4,37.5273396,127.1183563
와우리,경기 화성시 기안동 338-4,37.2256003,126.9722550
완도,전남 완도군 완도읍 군내리 1237-14,34.3188830,126.7464954
완산문외,경북 영천시 문외동 258-6,35.9725154,128.9364493
왕십리1호,서울 성동구 하왕십리동 946-15,37.5639548,127.0296742
왕십리도선,서울 성동구 홍익동 131-1,37.5648760,127.0360563
왕암,충북 제천시 왕암동 798,37.1545522,128.1693667
왜관,경북 칠곡군 왜관읍 왜관리 237-19,35.9920053,128.3985745
외도하귀,제주 제주시 하귀1리 162-4,33.4823647,126.4151930
외동(경주),경북 경주시 입실리 1344-46,35.7112705,129.3251682
외동(김해),경남 김해시 외동 1187-12,35.2331431,128.8593312
용강(경주),경북 경주시 용강동 1619,35.8837070,129.2282481
용강(서울),서울 마포구 대흥동 500-10,37.5436525,126.9444068
용담삼도,제주 제주시 용담이동 628-24,33.5096795,126.5077215
용답,서울 성동구 용답동 60-18,37.5647675,127.0525136
용당서면,전남 순천시 용당동 348-9,34.9737520,127.4950637
용두,서울 동대문구 왕산로28길 55,37.5756898,127.0392040
용두오류,대전 중구 오류동 153-27,36.3228695,127.4096179
용문,서울 용산구 용문동 28-26,37.5377855,126.9599825
용산,대구 달서구 용산1동 954-6,35.8547425,128.5308646
용산새방,대구 달서구 용산동 499-2,35.8585423,128.5216218
용상,경북 안동시 용상동 1179-188,36.5564705,128.7552206
용암1호,충북 청주시 상당구 용암동 2574,36.6205093,127.5130672
용암2호,충북 청주시 상당구 용암동 1780,36.6061898,127.5061182
용운,대전 동구 용운동 306-3,36.3279327,127.4595963
용인1호,경기 용인시 처인구 김량장동 293-24,37.2351091,127.1954705
용인2호,경기 용인시 처인구 마평동 657-14,37.2353043,127.2121073
용인서천,경기 용인시 기흥구 농서동 436-3,37.2339019,127.0716664
용해,전남 목포시 연산동 1930-4,34.8178871,126.3930900
용현1호,경기 의정부시 용현동 18-15,37.7352277,127.0877953
용현2동,인천 남구 용현동 558-32,37.4558931,126.6409786
용현5동,인천 남구 용현동 630-45,37.4524573,126.6340028
용호1호,부산 남구 용호동 555-19,35.1103773,129.1109923
용호2호,부산 남구 동명로 126,35.1197923,129.1107444
용호2호,부산 남구 용호동 396-1,35.1197356,129.1107088
용화,충남 아산시 용화동 714,36.7715379,126.9959720
용흥,경북 포항시 북구 용흥동 63-9,36.0388744,129.3558941
우동1호,부산 해운대구 우동 1090-13,35.1694614,129.1385895
우만1호,경기 수원시 팔달구 우만동 481,37.2892362,127.0311343
우면,서울 서초구 우면동 720,37.4636458,127.0262394
우방신세계,부산 동래구 안락동 471-41,35.1995872,129.1125844
우산,강원 원주시 우산동 818,37.3633998,127.9328399
우정,울산 중구 우정동 436-41,35.5599861,129.3116611
우정혁신,울산 중구 유곡동 473-8,35.5599994,129.2952064
우현,경북 포항시 북구 우현동 산15-6,36.0559723,129.3638168
운남1호,광주 광산구 월곡2동 683-1,35.1761700,126.8114668
운서,인천 중구 운서동 2913-3,37.4828961,126.5104545
운암1호,광주 북구 운암3동 1051-5,35.1827723,126.8724917
운암2호(오산),"경기 오산시 오산동 919-3, 102호",37.1566264,127.0782850
운양,경기 김포시 운양동 1297-6 승문리앤포레 1차 1층,37.6553379,126.6832107
운정1호,경기 파주시 동패동 1758,37.7120798,126.7445462
운천신봉,충북 청주시 흥덕구 운천동 1366,36.6499746,127.4749535
울대,울산 남구 무거동 623-6,35.5393846,129.2571492
울진,경북 울진군 울진읍 읍내리 576-1,36.9972669,129.4015354
웅동용원,경남 창원시 진해구 용원동 1212-11,35.1014329,128.8127638
웅천,전남 여수시 웅천동 1694-1 104호,34.7465707,127.6700254
웅촌,울산 울주군 청량면 삼정리 755-1 가동 216호,35.4959939,129.2379650
원곡1호,경기 안산시 단원구 원곡동 754-6,37.3320475,126.7942759
원광대,"전북 익산시 신동 764-4 시즈퍼스트 상가112호, 113호",35.9619244,126.9590563
원당,경기 고양시 덕양구 성사동 519-2,37.6596695,126.8399615
원대노원,대구 북구 노원동3가 892-1,35.8922303,128.5679400
원동,경기 오산시 오산동 881-7,37.1447073,127.0682730
원산,전남 목포시 산정동 1693-3,34.8040697,126.3756538
원성,충남 천안시 동남구 원성2동 518-4,36.8061810,127.1623608
원주기업도시,강원 원주시 지정면 가곡리 1348-7,37.3742835,127.8758555
원주봉화,강원 원주시 단계동 1173-8,37.3568635,127.9188308
원통,강원 인제군 북면 원통리 645-32,38.1225743,128.2037862
원평,경북 구미시 원평동 84-5,36.1282358,128.3283756
원호,경북 구미시 고아읍 원호리 442-2,36.1512905,128.3303295
원흥,경기 고양시 덕양구 도내동 966,37.6349176,126.8724827
월곶,경기도 시흥시 월곶동 1015-1,37.3882813,126.7392897
월성,대구 달서구 본동 1135-4,35.8328073,128.5376811
월영,경남 창원시 마산합포구 해운동 42-11,35.1798639,128.5630631
월평1호,대전 서구 월평동 525,36.3563421,127.3651688
월피,"경기 안산시 상록구 월피동 442-26, 1층",37.3301040,126.8509201
위례송파,서울 송파구 장지동 897,37.4748157,127.1415757
유성,대전 유성구 봉명동 621-1,36.3587860,127.3458892
유천,강원 강릉시 홍제동 1019-2,37.7577651,128.8680761
율전1호,경기 수원시 장안구 율전동 298-8,37.2985931,126.9692913
율하(김해),경남 김해시 관동동 1106-5,35.1773501,128.8153387
율하(대구),대구 동구 율하동 1311번지 102호,35.8628732,128.6895389
율하2지구,경남 김해시 장유동 834-8,35.1725838,128.8258538
은계,경기 시흥시 은행동 645-5,37.4365425,126.8031985
은평뉴타운,서울 은평구 진관동 22 은평뉴타운상가 914-103호,37.6427320,126.9209106
은행1호(성남),경기 성남시 중원구 은행동 663-3,37.4609868,127.1675023
은행1호(시흥),경기 시흥시 대야동 580-4,37.4457348,126.7988459
음성,충북 음성군 음성읍 읍내리 354-3,36.9335849,127.6936176
음성혁신도시,충북 음성군 맹동면 두성리 1251,36.9100037,127.5437400
읍내(당진),충남 당진시 읍내동 850,36.8941439,126.6373722
읍내(대구),대구 북구 읍내동 1449 202동 103호,35.9545934,128.5523724
읍내(서산),충남 서산시 읍내동 759-13,36.7775632,126.4443211
응봉,서울 성동구 응봉동 100,37.5519600,127.0332819
응암1동,서울 은평구 응암동 236-33,37.5932542,126.9229269
응암오거리,서울 은평구 응암동 595-51,37.5874960,126.9147977
의령,경남 의령군 의령읍 서동리 497-9,35.3190842,128.2598383
의성,경북 의성군 의성읍 후죽리 470-6,36.3559261,128.6944587
의정부역,경기 의정부시 의정부동 140-3 미래프라자 1층,37.7376926,127.0480462
이시아,대구 동구 봉무동 1543,35.9229171,128.6367615
이천1호,경기 이천시 영창로 242,37.2804379,127.4495400
이천관고,경기 이천시 관고동 504-6,37.2773417,127.4368431
이천대봉,대구 남구 이천동 184-9,35.8545939,128.6036051
이천하이닉스,경기 이천시 부발읍 아미리 678-11,37.2508108,127.4926025
이현인사,경남 진주시 인사동 145-5,35.1925530,128.0743057
인계,경기 수원시 팔달구 인계동 1118-12,37.2640597,127.0349330
인덕대,서울 노원구 월계동 951 월계센트럴아이파크 상가동 101호,37.6303026,127.0573545
인덕원,경기 의왕시 포일동 662,37.3959701,126.9847629
인동,경북 구미시 인의동 341-2,36.1103501,128.4257531
인제,강원 인제군 인제읍 인제로 189,38.0688406,128.1714083
