가맹점명,주소
하대초전,경남 진주시 하대동 306-38
하동,경남 하동군 하동읍 읍내리 238
하복대,충북 청주시 흥덕구 복대동 2960
하안1호,"경기 광명시 하안동 35-5, 영보빌딩 102호"
하양,경북 경산시 하양읍 금락리 130-18
하조대,강원 양양군 현북면 하광정리 361-7
학동,광주 동구 학동 735-16
학익1호,인천 남구 학익동 293-37
학장,부산 사상구 학장동 산149-16
학정,대구 북구 학정동 282-14
한남,서울 용산구 한남동 828
한남대,대전 대덕구 한남로 오정동 223-260
한라대,제주 제주시 노형동 716
한림협재,제주 제주시 한림읍 한림리 1582-8
한밭대,대전 유성구 덕명동 592-6
한성대,서울 성북구 동소문동3가 31
한솔,세종 한솔동 927
한양대,서울 성동구 행당동 3-29
함덕,제주 제주시 조천읍 함덕리 1004-41
함안,경남 함안군 가야읍 말산리 58-27
함양,경남 함양군 함양읍 용평리 773-1
함열,전북 익산시 함열읍 와리 610-3
함평,전남 함평군 함평읍 기각리 1000-8
합덕,충남 당진시 합덕읍 운산리 266-2
합성,경남 창원시 마산회원구 합성동 263-36
합천,경남 합천군 합천읍 합천리 320-3
해남,전남 해남군 해남읍 구교리 304-3
해운대역,부산 해운대구 우동 639-4
행신1호,경기 고양시 덕양구 행신동 995-2
행신역,경기 고양시 덕양구 행신동 708-3
향남2지구,경기 화성시 향남읍 하길리 1466
향동지구,경기 고양시 덕양구 향동동 460-6
헬리오시티,"서울 송파구 가락동 479 헬리오시티상가 A동 3,4호"
혁신(경남 진주),경남 진주시 진주시 충무공동 282-3
혁신(원주),강원 원주시 반곡동 1880-7
혁신(전북),전북 완주군 이서면 갈산리 664-10
현리,경기 가평군 하면 현리 259-7
형곡,경북 구미시 형곡동 152-4
호계,경남 창원시 마산회원구 내서읍 호계리 289-45
호계1호(안양),경기 안양시 동안구 호계2동 927-2
호계1호(울산),울산 북구 호계동 286-15
호계2호,울산 북구 신천동 107-4
호계3호,경기 군포시 당정동 2-3
호매실,경기 수원시 권선구 금곡동 1137-3
호산파호,대구 달서구 호산동 357-116
호성,전북 전주시 덕진구 호성동1가 757-26
호수,경기 고양시 일산동구 백석동 1414-15
호원1호,경기 의정부시 호원동 466-15
호평,경기 남양주시 호평동 656-1
홍대,서울 마포구 서교동 371-3
홍은1호,서울 서대문구 홍제동 279-52
홍은사거리,서울 서대문구 홍제동 326-20
홍천,강원 홍천군 홍천읍 신장대리 8-9
화곡1호,서울 양천구 신월동 23-17
화곡2호,서울 강서구 화곡동 400-45
화곡본동,서울 화곡동 24-251
화명1호,부산 북구 화명동 749
화명3호,부산 북구 화명동 182-5(2층)
화명신도시,부산 북구 화명동 2266-1
화봉,울산 북구 연암동 414-3
화산안녕,경기 화성시 송산동 158-8
화서1호,"경기 수원시 팔달구 화서동 703 꽃뫼양지마을(대우아파트) 상가 105, 106호"
화서2호,경기 수원시 팔달구 화서동 185-3
화순,전남 화순군 화순읍 일심리 755
화원,대구 달성군 화원읍 천내리 241-1
화정,울산 동구 일산동 581-36
화정1호(고양),경기 고양시 덕양구 화정동 906-5 1층 102호
화정1호(광주),광주 서구 화정동 824-16
화정2호,"광주 서구 농성동 666-1 1층 113,114호"
화정역,경기 고양시 덕양구 화정동 979-2
화천,강원 화천군 화천읍 하리 44-46
환호장량,경북 포항시 북구 장성동 1378-3
황금,대구 수성구 황금동 843-1
황성,경북 경주시 황성동 893-3
회룡역,경기 의정부시 호원동 426
회원,경남 창원시 마산회원구 회원2동 669-4
횡성,강원 횡성군 횡성읍 읍하리 107-48
효곡,경북 포항시 남구 효자동 579-1 풍림아이원상가 107호
효성1호,"인천 계양구 효성1동 21-11 현대아파트 상가동 101호, 102호, 103호"
효성2호,인천 계양구 효성2동 273-3
효자(전주),전북 전주시 완산구 효자동1가 652
효자(춘천),강원 춘천시 효자동 545-3
효천,전북 전주시 완산구 삼천동2가 759-1
후암,서울 용산구 후암동 244-59
후평1호,강원 춘천시 후평동 836-1
후평사거리,강원 춘천시 후평1동 693-4
휘닉스봉평,강원 평창군 봉평면 무이리 709
흑석1호,서울 동작구 흑석동 180-6
흥덕,경기 용인시 기흥구 영덕동 994-3
흥업,강원 원주시 흥업면 흥업리 585-8
흥해,경북 포항시 북구 흥해읍 옥성리 403-7
