storename,address
상동1호,"경기 부천시 원미구 소향로 25, 110호"
상동석현,전남 목포시 옥암로 182 경현빌딩 1층
상동역,"경기 부천시 원미구 도약로 25, 대동프라자 1층 107호"
상모,경북 구미시 상사서로 92
상무1호,광주 서구 상무연하로 22
상문,경남 거제시 상동5길 82
상봉1호,서울시 중랑구 망우로 326
상봉중앙,경남 진주시 촉석로 171-1
상북,경남 양산시 상북면 반회서5길 11
상암,서울 마포구 월드컵북로 48길 14
상인,대구 달서구 상화북로 180
상일,"서울 강동구 상일로15길 6(고덕동,재도빌딩)"
상일2호,"서울 강동구 구천면로 640, 고덕 롯데캐슬 베네루체 상가A동 114호"
상주,경북 상주시 상산로 347-2(무양동)
상평,경남 진주시 돗골로 96
상현1호,경기 용인시 수지구 만현로20
상현역,경기 용인시 수지구 광교호수로360번길 2
생연,"경기 동두천시 중앙로 220(생연동,쎈츄럴시티)"
서곡효자,전북 전주시 완산구 홍산로 375 104호
서귀포1호,제주 서귀포시 일주동로 8584
서귀포남원,제주 서귀포시 태위로 713
서귀포명동,제주 서귀포시 명동로 29(서귀동)
서귀포혁신도시,제주 서귀포시 신서귀로97길 55
서동1호,부산 금정구 서동로 182
서면,부산 부산진구 중앙대로 745-1
서산테크노,충남 서산시 성연면 성연3로 111
서신,전라북도 전주시 완산구 고사평4길 7
서울시립대,서울 동대문구 전농로 133
서울시청,서울 중구 세종대로 18길 6
서재세천,대구 달성군 다사읍 서재로20길 1
서창,인천 남동구 서창 남순환로 216번길 35
서창1호,경남 양산시 삼호로 180
서천,충남 서천군 서천로 127
서초1호,서울 서초구 강남대로 43길 22-1 1층
